index,Mkt-RF,SMB,HML,RF
199705,6.74,4.83,-4.37,0.49
199706,4.1,1.5,0.76,0.37
199707,7.33,-2.52,-0.13,0.43
199708,-4.15,7.35,1.36,0.41
199709,5.35,2.68,-0.22,0.44
199710,-3.8,-0.79,2.2,0.42
199711,2.98,-5.06,0.98,0.39
199712,1.32,-2.39,3.82,0.48
199801,0.15,-0.93,-2.05,0.43
199802,7.03,0.32,-0.91,0.39
199803,4.76,-1.01,1.25,0.39
199804,0.73,0.48,0.34,0.43
199805,-3.07,-3.54,4.13,0.4
199806,3.18,-3.13,-2.17,0.41
199807,-2.46,-4.92,-1.17,0.4
199808,-16.08,-5.74,5.17,0.43
199809,6.15,-0.2,-3.8,0.46
199810,7.13,-3.2,-2.67,0.32
199811,6.1,1.16,-3.52,0.31
199812,6.16,-0.31,-4.68,0.38
199901,3.5,0.87,-5.6,0.35
199902,-4.08,-5.58,1.62,0.35
199903,3.45,-3.84,-2.89,0.43
199904,4.33,3.2,2.37,0.37
199905,-2.46,3.63,2.67,0.34
199906,4.77,3.48,-4.19,0.4
199907,-3.47,2.22,0.5,0.38
199908,-1.38,-1.3,-0.88,0.39
199909,-2.81,3.15,-2.99,0.39
199910,6.13,-6.86,-3.13,0.39
199911,3.37,7.96,-8.01,0.36
199912,7.72,7.24,-9.4,0.44
200001,-4.74,4.35,0.06,0.41
200002,2.45,22.32,-13.11,0.43
200003,5.2,-16.7,7.97,0.47
200004,-6.4,-7.87,9.29,0.46
200005,-4.42,-5.05,3.87,0.5
200006,4.64,13.72,-10.18,0.4
200007,-2.51,-2.76,8.55,0.48
200008,7.03,-0.94,-1.29,0.5
200009,-5.45,-1.94,6.82,0.51
200010,-2.76,-3.67,4.7,0.56
200011,-10.72,-3.12,12.29,0.51
200012,1.19,1.5,6.11,0.5
200101,3.13,7.08,-5.66,0.54
200102,-10.05,-1.17,13.91,0.38
200103,-7.26,0.54,6.22,0.42
200104,7.94,0.24,-4.38,0.39
